"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.703073333E-1,2.594845581E1,-4.310256958E0,-4.489929199E1,5.203697815E1
6.802803333E-1,2.575399017E1,-4.320503235E0,-4.489489746E1,5.193733316E1
6.902543333E-1,2.600648499E1,-4.253303528E0,-4.513519287E1,5.226483988E1
7.002273333E-1,2.585819244E1,-3.829246521E0,-4.504824829E1,5.208314429E1
7.102003333E-1,2.573926544E1,-4.003654480E0,-4.498211670E1,5.198009097E1
7.201733333E-1,2.579173279E1,-3.734443665E0,-4.488458252E1,5.190168877E1
7.301463333E-1,2.592573547E1,-3.616302490E0,-4.515655518E1,5.219517103E1
7.401203333E-1,2.612699127E1,-3.278930664E0,-4.517272949E1,5.228715472E1
7.500933333E-1,2.611902618E1,-3.292556763E0,-4.490063477E1,5.204912546E1
7.600663333E-1,2.583570862E1,-3.230377197E0,-4.521520996E1,5.217599437E1
7.700393333E-1,2.578787231E1,-2.783576965E0,-4.536584473E1,5.225727248E1
7.800123333E-1,2.585583496E1,-2.613189697E0,-4.509130859E1,5.204401092E1
7.899863333E-1,2.594808960E1,-2.477882385E0,-4.469485474E1,5.174044158E1
7.999593333E-1,2.582417297E1,-2.689590454E0,-4.488146973E1,5.185044003E1
8.099323333E-1,2.556172943E1,-2.310661316E0,-4.520223999E1,5.198060857E1
8.199055417E-1,2.552259064E1,-2.150695801E0,-4.535256958E1,5.208535008E1
8.298785417E-1,2.550851440E1,-1.965339661E0,-4.530197144E1,5.202706491E1
8.398525417E-1,2.520578003E1,-1.898078918E0,-4.525802612E1,5.183843149E1
8.498255417E-1,2.546411896E1,-1.946029663E0,-4.508746338E1,5.181783226E1
8.597985417E-1,2.501615143E1,-1.626678467E0,-4.539505005E1,5.185715461E1
8.697715417E-1,2.518566895E1,-1.548164368E0,-4.552374268E1,5.204926398E1
8.797445417E-1,2.497937775E1,-1.506500244E0,-4.529174805E1,5.174535048E1
