"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.313206542E0,5.442565918E0,1.862818909E1,-4.715292358E1,5.099048102E1
3.323179542E0,5.398178101E0,1.877111816E1,-4.713952637E1,5.102577927E1
3.333153542E0,5.181732178E0,1.869272614E1,-4.711837769E1,5.095497890E1
3.343126542E0,5.170989990E0,1.884953308E1,-4.697787476E1,5.088187056E1
3.353099542E0,5.153961182E0,1.877423859E1,-4.693127441E1,5.080924983E1
3.363072542E0,4.855453491E0,1.888416290E1,-4.698287964E1,5.086824173E1
3.373045542E0,4.979064941E0,1.881807709E1,-4.715719604E1,5.101678402E1
3.383019542E0,4.965530396E0,1.884567261E1,-4.737945557E1,5.123112997E1
3.392992542E0,4.915328979E0,1.873062134E1,-4.723751831E1,5.105271561E1
3.402965542E0,4.738914490E0,1.890792084E1,-4.711529541E1,5.098840890E1
3.412938542E0,4.663665771E0,1.884807587E1,-4.674819946E1,5.062009379E1
3.422911542E0,4.638328552E0,1.864559174E1,-4.688015747E1,5.066479396E1
3.432885542E0,4.615768433E0,1.900643921E1,-4.739855957E1,5.127546683E1
3.442858542E0,4.584342957E0,1.904911804E1,-4.711935425E1,5.103056577E1
3.452831542E0,4.558212280E0,1.914781189E1,-4.744522095E1,5.136599060E1
3.462804542E0,4.574348450E0,1.910919952E1,-4.746044922E1,5.136711409E1
3.472778542E0,4.551429749E0,1.909654999E1,-4.705932617E1,5.098993934E1
3.482751542E0,4.492576599E0,1.911494446E1,-4.707290649E1,5.100414563E1
3.492724542E0,4.381668091E0,1.920365143E1,-4.720550537E1,5.115016110E1
3.502697542E0,4.450660706E0,1.896289062E1,-4.713766479E1,5.100351992E1
3.512670542E0,4.589317322E0,1.909512329E1,-4.702072144E1,5.095717625E1
3.522644542E0,4.547233582E0,1.915978241E1,-4.679510498E1,5.076964098E1
3.532617542E0,4.320396423E0,1.918061829E1,-4.718106079E1,5.111374023E1
3.542590542E0,4.101928711E0,1.907623291E1,-4.707617188E1,5.095973351E1
3.552563542E0,4.072830200E0,1.908939362E1,-4.725158691E1,5.112441061E1
3.562537542E0,3.936393738E0,1.903566742E1,-4.717102051E1,5.101918272E1
3.572510542E0,3.868469238E0,1.886297607E1,-4.736022949E1,5.112502575E1
3.582483542E0,3.937843323E0,1.889582062E1,-4.725122070E1,5.104151746E1
3.592456542E0,3.777458191E0,1.874011230E1,-4.739239502E1,5.110283852E1
3.602429542E0,3.757392883E0,1.884429932E1,-4.727505493E1,5.103093608E1
3.612403542E0,3.755561829E0,1.900659180E1,-4.751907349E1,5.131683078E1
3.622376542E0,3.512344360E0,1.910966492E1,-4.769451904E1,5.150032042E1
3.632349542E0,3.409393311E0,1.912833405E1,-4.740588379E1,5.123314302E1
3.642322542E0,3.152801514E0,1.929710388E1,-4.739633179E1,5.127114825E1
3.652296542E0,3.085540771E0,1.930087280E1,-4.739926147E1,5.127118334E1
3.662269542E0,3.140586853E0,1.898739624E1,-4.723098755E1,5.100147730E1
3.672242542E0,2.975662231E0,1.901176453E1,-4.704153442E1,5.082526652E1
3.682215542E0,2.640914917E0,1.905427551E1,-4.694650269E1,5.073474117E1
3.692188542E0,2.765716553E0,1.946920013E1,-4.725045776E1,5.117914322E1
3.702162542E0,2.599082947E0,1.888566589E1,-4.739385986E1,5.108425943E1
3.712135542E0,2.538337708E0,1.887409210E1,-4.728524780E1,5.097616277E1
3.722108542E0,2.367706299E0,1.903771973E1,-4.749810791E1,5.122607793E1
3.732081542E0,2.274208069E0,1.925358582E1,-4.724890137E1,5.107182461E1
3.742054542E0,2.194908142E0,1.905188751E1,-4.728863525E1,5.102947250E1
3.752028542E0,1.950546265E0,1.902281952E1,-4.764385986E1,5.133818925E1
3.762001542E0,1.994415283E0,1.912487030E1,-4.772824097E1,5.145603310E1
3.771974542E0,1.708297729E0,1.902153778E1,-4.746978760E1,5.116754748E1
3.781947542E0,1.949554443E0,1.920951843E1,-4.754882812E1,5.131956174E1
3.791921542E0,1.931846619E0,1.910086823E1,-4.733807373E1,5.108295629E1
3.801894542E0,1.729927063E0,1.941465759E1,-4.721591187E1,5.108095448E1
3.811867542E0,1.516143799E0,1.927489471E1,-4.710058594E1,5.091449159E1
3.821845042E0,1.524978638E0,1.925672913E1,-4.734512329E1,5.113421434E1
3.831818042E0,1.496276855E0,1.959425354E1,-4.709823608E1,5.103349350E1
3.841792042E0,1.538009644E0,1.945221710E1,-4.705859375E1,5.094374809E1
3.851765042E0,1.237152100E0,1.952121735E1,-4.734429932E1,5.122588359E1
3.861738042E0,1.229629517E0,1.966362762E1,-4.732632446E1,5.126354677E1
3.871711042E0,1.292823792E0,1.963630676E1,-4.728021240E1,5.121205348E1
3.881685042E0,1.232147217E0,1.944102478E1,-4.711840820E1,5.098642979E1
3.891658042E0,9.655685425E-1,1.959938049E1,-4.700106812E1,5.093297991E1
3.901631042E0,9.495620728E-1,1.991590881E1,-4.699285889E1,5.104776076E1
3.911604042E0,9.467697144E-1,1.997574615E1,-4.713525391E1,5.120213832E1
3.921577042E0,8.325958252E-1,1.982285309E1,-4.681671143E1,5.084725351E1
3.931551042E0,6.158142090E-1,1.995061493E1,-4.673382568E1,5.081787802E1
3.941524042E0,5.400924683E-1,1.992567444E1,-4.672521973E1,5.079931456E1
3.951497042E0,3.713912964E-1,1.985111237E1,-4.668783569E1,5.073419552E1
3.961470042E0,1.340179443E-1,1.981835175E1,-4.704095459E1,5.104543501E1
3.971444042E0,3.153991699E-2,1.985469055E1,-4.730264282E1,5.130058235E1
3.981417042E0,1.481628418E-2,1.959466553E1,-4.709329224E1,5.100714960E1
3.991390042E0,-9.829711914E-2,1.925393677E1,-4.676983643E1,5.057807176E1
4.001363042E0,-2.872848511E-1,1.930503845E1,-4.712927246E1,5.093069178E1
4.011337042E0,-6.312561035E-1,1.921588135E1,-4.707330322E1,5.084824930E1
4.021310042E0,-3.627014160E-1,1.937684631E1,-4.724032593E1,5.106116057E1
4.031283042E0,-7.213363647E-1,1.927729034E1,-4.770840454E1,5.146091831E1
4.041256042E0,-1.081703186E0,1.934471893E1,-4.752020264E1,5.131820234E1
4.051229042E0,-1.310661316E0,1.935799408E1,-4.694479370E1,5.079629340E1
4.061203042E0,-1.647346497E0,1.945066071E1,-4.705981445E1,5.094769954E1
4.071176042E0,-1.595252991E0,1.930947113E1,-4.697421265E1,5.081315933E1
4.081149042E0,-2.098464966E0,1.897194672E1,-4.676873779E1,5.051389069E1
4.091122042E0,-2.154342651E0,1.888051605E1,-4.667147827E1,5.039188390E1
4.101096042E0,-2.408119202E0,1.901568604E1,-4.655035400E1,5.034213753E1
4.111069042E0,-2.473258972E0,1.926428223E1,-4.722705078E1,5.106489895E1
4.121042042E0,-2.661216736E0,1.913586426E1,-4.726937866E1,5.106522823E1
4.131015042E0,-3.216995239E0,1.893730927E1,-4.736962891E1,5.111606874E1
4.140988042E0,-3.409652710E0,1.897841644E1,-4.701754761E1,5.081786896E1
4.150962042E0,-3.574333191E0,1.898701477E1,-4.732919312E1,5.112078940E1
4.160935042E0,-3.868385315E0,1.882825470E1,-4.736267090E1,5.111448107E1
4.170908042E0,-3.756622314E0,1.898085785E1,-4.752902222E1,5.131659701E1
4.180881042E0,-3.805351257E0,1.875571442E1,-4.765713501E1,5.135620740E1
4.190855042E0,-3.891716003E0,1.866895294E1,-4.762185669E1,5.129830886E1
4.200828042E0,-4.126647949E0,1.850309753E1,-4.754043579E1,5.118092298E1
4.210801042E0,-4.270698547E0,1.839534760E1,-4.741503906E1,5.103737462E1
4.220774042E0,-4.460380554E0,1.862757111E1,-4.749746704E1,5.121416577E1
4.230748042E0,-4.270896912E0,1.849053955E1,-4.722692871E1,5.089718468E1
4.240721042E0,-4.426193237E0,1.830054474E1,-4.723251343E1,5.084694139E1
4.250694042E0,-4.651878357E0,1.843497467E1,-4.734786987E1,5.102263267E1
4.260667042E0,-4.612976074E0,1.815978241E1,-4.774157715E1,5.128660092E1
4.270640042E0,-4.596397400E0,1.810408783E1,-4.780789185E1,5.132717982E1
4.280614042E0,-4.706924438E0,1.810054016E1,-4.764260864E1,5.118205594E1
4.290587042E0,-4.669776917E0,1.806466675E1,-4.771154785E1,5.123017470E1
4.300560042E0,-4.970809937E0,1.793526459E1,-4.730172729E1,5.083144767E1
4.310533042E0,-5.030509949E0,1.806991577E1,-4.779513550E1,5.134396619E1
4.320507042E0,-5.031845093E0,1.798389435E1,-4.764981079E1,5.117855400E1
4.330480042E0,-5.084220886E0,1.784573364E1,-4.750457764E1,5.100004321E1
4.340453042E0,-5.314849854E0,1.801131439E1,-4.775952148E1,5.131887535E1
4.350426042E0,-5.507614136E0,1.795674896E1,-4.781335449E1,5.137018118E1
4.360400042E0,-5.433547974E0,1.767914581E1,-4.770040894E1,5.116057714E1
4.370373042E0,-5.657104492E0,1.764463043E1,-4.778408813E1,5.125090139E1
4.380346042E0,-5.755752563E0,1.763241577E1,-4.750677490E1,5.099925916E1
4.390319042E0,-5.850975037E0,1.786458588E1,-4.732437134E1,5.092124763E1
4.400292042E0,-5.878402710E0,1.752046967E1,-4.776144409E1,5.121208859E1
4.410266042E0,-6.003814697E0,1.761042786E1,-4.734280396E1,5.086761294E1
4.420239042E0,-6.278900146E0,1.750540924E1,-4.773019409E1,5.122533912E1
4.430212042E0,-6.581306458E0,1.759375000E1,-4.769412231E1,5.125995452E1
4.440185042E0,-6.655387878E0,1.749191284E1,-4.737326050E1,5.093610716E1
4.450159042E0,-6.868644714E0,1.703186035E1,-4.740075684E1,5.083398761E1
4.460132042E0,-6.880012512E0,1.713066864E1,-4.736566162E1,5.083601362E1
4.470105042E0,-7.107192993E0,1.710688019E1,-4.733541870E1,5.083108700E1
4.480078042E0,-7.220077515E0,1.704283905E1,-4.740283203E1,5.088827337E1
4.490051042E0,-6.858627319E0,1.711852264E1,-4.716876221E1,5.064559916E1
4.500025042E0,-7.087692261E0,1.711556244E1,-4.720449829E1,5.070939280E1
4.509998042E0,-7.385353088E0,1.713378906E1,-4.730343628E1,5.085002706E1
4.519971042E0,-7.400840759E0,1.691372681E1,-4.746871948E1,5.093256255E1
4.529944042E0,-7.837257385E0,1.699809265E1,-4.719372559E1,5.077012401E1
4.539918042E0,-7.855133057E0,1.687266541E1,-4.743682861E1,5.095726309E1
4.549891042E0,-8.141113281E0,1.679206848E1,-4.748168945E1,5.101727279E1
4.559864042E0,-8.248207092E0,1.677385712E1,-4.698849487E1,5.056989078E1
4.569837042E0,-8.179626465E0,1.671092987E1,-4.713421631E1,5.067342315E1
4.579811042E0,-8.315238953E0,1.673537445E1,-4.758569336E1,5.112351875E1
4.589784042E0,-8.728843689E0,1.649831390E1,-4.739117432E1,5.093437422E1
4.599757042E0,-8.649391174E0,1.659281158E1,-4.750933838E1,5.106143943E1
4.609730042E0,-8.718559265E0,1.653520966E1,-4.735559082E1,5.091147627E1
4.619704042E0,-8.867401123E0,1.619299316E1,-4.698294067E1,5.048010048E1
4.629677042E0,-9.159416199E0,1.622506714E1,-4.693386841E1,5.049688815E1
4.639650042E0,-9.241386414E0,1.638603210E1,-4.671789551E1,5.036335008E1
4.649623042E0,-9.493988037E0,1.633876801E1,-4.702169800E1,5.067673264E1
4.659596042E0,-9.662811279E0,1.620890045E1,-4.714883423E1,5.078494801E1
4.669570042E0,-1.002770996E1,1.611704254E1,-4.720874023E1,5.088201236E1
4.679543042E0,-1.012451172E1,1.571003723E1,-4.755810547E1,5.109877105E1
4.689516042E0,-1.026872253E1,1.562837982E1,-4.762448120E1,5.116428567E1
4.699489042E0,-1.050634003E1,1.586901093E1,-4.744775391E1,5.112238296E1
4.709463042E0,-1.059354401E1,1.561773682E1,-4.752764893E1,5.113721043E1
4.719436042E0,-1.089561462E1,1.576686859E1,-4.725604248E1,5.099453024E1
4.729409042E0,-1.088066101E1,1.563826752E1,-4.715481567E1,5.085784931E1
4.739382042E0,-1.117140961E1,1.564938354E1,-4.720874023E1,5.097419693E1
4.749356042E0,-1.144780731E1,1.545010376E1,-4.708209229E1,5.085746172E1
4.759329042E0,-1.162266541E1,1.538681030E1,-4.705404663E1,5.085197722E1
4.769302042E0,-1.188481140E1,1.562171936E1,-4.701977539E1,5.095239087E1
4.779275042E0,-1.162318420E1,1.531031036E1,-4.713201904E1,5.090119089E1
4.789248042E0,-1.200196838E1,1.528452301E1,-4.696566772E1,5.082753027E1
4.799222042E0,-1.199087524E1,1.525950623E1,-4.713031006E1,5.096959629E1
4.809195042E0,-1.241052246E1,1.511501312E1,-4.683584595E1,5.075510964E1
4.819166917E0,-1.246507263E1,1.487644196E1,-4.686627197E1,5.072606834E1
4.829139917E0,-1.256744385E1,1.483432770E1,-4.667831421E1,5.056543227E1
4.839113917E0,-1.264516449E1,1.502246857E1,-4.687121582E1,5.081816230E1
4.849086917E0,-1.273219299E1,1.474542999E1,-4.692166138E1,5.080530239E1
4.859059917E0,-1.288347626E1,1.473534393E1,-4.726058960E1,5.115347154E1
4.869032917E0,-1.286945343E1,1.476119232E1,-4.686245728E1,5.078981721E1
4.879006917E0,-1.310939026E1,1.477719879E1,-4.722436523E1,5.118947537E1
4.888979917E0,-1.328630829E1,1.440852356E1,-4.699942017E1,5.092226463E1
4.898952917E0,-1.327811432E1,1.448268127E1,-4.705630493E1,5.099364873E1
4.908925917E0,-1.359816742E1,1.458362579E1,-4.691864014E1,5.097990870E1
4.918899917E0,-1.370737457E1,1.436706543E1,-4.689169312E1,5.092283937E1
4.928872917E0,-1.390399170E1,1.416841125E1,-4.683325195E1,5.086667230E1
4.938845917E0,-1.361432648E1,1.418283844E1,-4.717788696E1,5.111023195E1
4.948818917E0,-1.397991943E1,1.414046478E1,-4.717959595E1,5.119868324E1
4.958791917E0,-1.419614410E1,1.400608826E1,-4.695843506E1,5.101760126E1
4.968765917E0,-1.420394135E1,1.408898926E1,-4.652230835E1,5.064165027E1
4.978738917E0,-1.440528870E1,1.393544769E1,-4.669885254E1,5.081822383E1
4.988711917E0,-1.423102570E1,1.386412048E1,-4.660156250E1,5.066005879E1
4.998684917E0,-1.412032318E1,1.395484161E1,-4.705999756E1,5.107606584E1
5.008658917E0,-1.436633301E1,1.371041870E1,-4.693646240E1,5.096468000E1
5.018631917E0,-1.432438660E1,1.355145264E1,-4.679751587E1,5.078225489E1
5.028604917E0,-1.459308624E1,1.372071838E1,-4.685235596E1,5.095448496E1
5.038577917E0,-1.452957153E1,1.360679626E1,-4.722061157E1,5.124489741E1
5.048551917E0,-1.463816071E1,1.352286530E1,-4.760189819E1,5.160508062E1
5.058524917E0,-1.492463684E1,1.341332245E1,-4.714675903E1,5.123942712E1
5.068497917E0,-1.499002075E1,1.330394745E1,-4.723632812E1,5.131243937E1
5.078470917E0,-1.504727173E1,1.326486969E1,-4.734423828E1,5.141842134E1
5.088443917E0,-1.500959015E1,1.329646301E1,-4.706643677E1,5.115987876E1
5.098417917E0,-1.532498169E1,1.289752197E1,-4.706539917E1,5.115029751E1
5.108390917E0,-1.512838745E1,1.315954590E1,-4.684698486E1,5.095764659E1
5.118363917E0,-1.501663208E1,1.327090454E1,-4.694744873E1,5.104585281E1
5.128336917E0,-1.517961884E1,1.295490265E1,-4.658596802E1,5.068039805E1
5.138310917E0,-1.547494507E1,1.270135498E1,-4.684777832E1,5.094617431E1
5.148283917E0,-1.536021423E1,1.268289185E1,-4.729321289E1,5.131705284E1
5.158256917E0,-1.542414093E1,1.282770538E1,-4.719000244E1,5.127719258E1
5.168229917E0,-1.554953003E1,1.245763397E1,-4.709976196E1,5.114066978E1
5.178203917E0,-1.580077362E1,1.260524750E1,-4.699325562E1,5.115586755E1
5.188176917E0,-1.594292450E1,1.256356049E1,-4.688378906E1,5.108923145E1
5.198149917E0,-1.586757660E1,1.256502533E1,-4.689453125E1,5.107599152E1
5.208122917E0,-1.598086548E1,1.235698700E1,-4.673825073E1,5.091706267E1
5.218095917E0,-1.592929840E1,1.201329803E1,-4.674212646E1,5.082212376E1
5.228069917E0,-1.587438202E1,1.212825775E1,-4.685577393E1,5.093676659E1
5.238042917E0,-1.589109039E1,1.194636536E1,-4.680331421E1,5.085068947E1
5.248015917E0,-1.610778046E1,1.230800629E1,-4.679052734E1,5.099314718E1
5.257988917E0,-1.628383636E1,1.213531494E1,-4.679208374E1,5.100910013E1
5.267962917E0,-1.650150299E1,1.212983704E1,-4.717233276E1,5.142627272E1
5.277935917E0,-1.647550964E1,1.212255859E1,-4.659613037E1,5.088809498E1
5.287908917E0,-1.663336945E1,1.210350800E1,-4.662139893E1,5.095800941E1
5.297881917E0,-1.653371429E1,1.215456390E1,-4.647207642E1,5.080109269E1
5.307855917E0,-1.669580078E1,1.223747253E1,-4.655072021E1,5.094580503E1
5.317828917E0,-1.700869751E1,1.230377960E1,-4.694088745E1,5.142106279E1
5.327801917E0,-1.700869751E1,1.230377960E1,-4.694088745E1,5.142106279E1
5.337774917E0,-1.692235565E1,1.232217407E1,-4.688024902E1,5.134159954E1
5.347747917E0,-1.696932220E1,1.207938385E1,-4.670220947E1,5.113673611E1
5.357721917E0,-1.693057251E1,1.219693756E1,-4.652120972E1,5.098659162E1
5.367694917E0,-1.703187561E1,1.197095490E1,-4.674407959E1,5.117027970E1
5.377667917E0,-1.718388367E1,1.202520752E1,-4.650863647E1,5.101906252E1
5.387640917E0,-1.715788269E1,1.188655090E1,-4.710211182E1,5.151982112E1
5.397614917E0,-1.719017029E1,1.188803864E1,-4.713906860E1,5.156470892E1
5.407587917E0,-1.716744232E1,1.157489014E1,-4.697000122E1,5.133108388E1
5.417560917E0,-1.714791107E1,1.160649872E1,-4.688446045E1,5.125343206E1
5.427533917E0,-1.736761475E1,1.164411163E1,-4.683666992E1,5.129223164E1
5.437507917E0,-1.744271851E1,1.149024200E1,-4.687817383E1,5.132092431E1
5.447480917E0,-1.749712372E1,1.119882965E1,-4.693734741E1,5.132911168E1
5.457453917E0,-1.729428101E1,1.117848206E1,-4.656698608E1,5.091694030E1
5.467426917E0,-1.756714630E1,1.125704956E1,-4.621417236E1,5.070577404E1
5.477399917E0,-1.781145477E1,1.128358459E1,-4.631271362E1,5.088648785E1
5.487373917E0,-1.785958099E1,1.126471710E1,-4.645394897E1,5.102771659E1
5.497346917E0,-1.790350342E1,1.102895355E1,-4.647433472E1,5.101016603E1
5.507319917E0,-1.808153534E1,1.074175262E1,-4.615176392E1,5.071797001E1
5.517292917E0,-1.812602234E1,1.097705841E1,-4.627999878E1,5.090075426E1
5.527266917E0,-1.823382568E1,1.086816406E1,-4.649526978E1,5.111163762E1
5.537239917E0,-1.834557343E1,1.080826569E1,-4.593249512E1,5.062778663E1
5.547212917E0,-1.839006042E1,1.056430054E1,-4.606155396E1,5.070961961E1
5.557185917E0,-1.844501495E1,1.046954346E1,-4.595480347E1,5.061298132E1
5.567159917E0,-1.875909424E1,1.053024292E1,-4.598812866E1,5.077103121E1
5.577132917E0,-1.890028381E1,1.028576660E1,-4.629943848E1,5.105541819E1
5.587105917E0,-1.895925140E1,9.993171692E0,-4.629565430E1,5.101572602E1
5.597078917E0,-1.888090515E1,9.957206726E0,-4.614694214E1,5.084461440E1
5.607051917E0,-1.909841919E1,9.683761597E0,-4.632562256E1,5.103516591E1
5.617025917E0,-1.923487854E1,9.556182861E0,-4.627398682E1,5.101551763E1
5.626998917E0,-1.923397064E1,9.403945923E0,-4.612899780E1,5.085532680E1
5.636971917E0,-1.925253296E1,9.231513977E0,-4.627346802E1,5.096189476E1
5.646944917E0,-1.945478821E1,9.221199036E0,-4.645724487E1,5.120346567E1
5.656918917E0,-1.970440674E1,8.861083984E0,-4.643780518E1,5.121769425E1
5.666891917E0,-1.953182220E1,9.121826172E0,-4.671569824E1,5.144955057E1
5.676864917E0,-1.953973389E1,9.108779907E0,-4.658508301E1,5.133167668E1
5.686837917E0,-1.963645172E1,8.935745239E0,-4.650909424E1,5.126922689E1
5.696810917E0,-1.974857330E1,8.846817017E0,-4.643395996E1,5.122875127E1
5.706784917E0,-1.967725372E1,8.551879883E0,-4.636392212E1,5.108759378E1
5.716757917E0,-2.004119873E1,8.376434326E0,-4.624713135E1,5.109414307E1
5.726730917E0,-1.998760986E1,8.318038940E0,-4.612289429E1,5.095111085E1
5.736703917E0,-2.012837219E1,8.200416565E0,-4.651806641E1,5.134519161E1
5.746677917E0,-1.995765686E1,7.972045898E0,-4.614407349E1,5.090321307E1
5.756650917E0,-2.001383972E1,8.008819580E0,-4.641824341E1,5.117956909E1
5.766623917E0,-2.019066620E1,7.652862549E0,-4.618017578E1,5.097879895E1
5.776596917E0,-2.004941559E1,7.440544128E0,-4.630792236E1,5.100749392E1
5.786570917E0,-2.000553894E1,7.566963196E0,-4.644683838E1,5.113501066E1
5.796543917E0,-1.993950653E1,7.231613159E0,-4.631399536E1,5.093983035E1
5.806516917E0,-1.989914703E1,7.290634155E0,-4.630123901E1,5.092086147E1
5.816486583E0,-2.003539276E1,7.048469543E0,-4.636834717E1,5.100119121E1
5.826459583E0,-2.030181122E1,7.031913757E0,-4.630664062E1,5.104817642E1
5.836433583E0,-2.072860718E1,6.690132141E0,-4.683361816E1,5.165095172E1
5.846406583E0,-2.046055603E1,6.654067993E0,-4.665539551E1,5.137739682E1
5.856379583E0,-2.043969727E1,6.525032043E0,-4.637237549E1,5.109554262E1
5.866352583E0,-2.045593262E1,6.346687317E0,-4.631188965E1,5.102466797E1
5.876326583E0,-2.043592072E1,6.240531921E0,-4.631118774E1,5.100291369E1
5.886299583E0,-2.064731598E1,6.396934509E0,-4.655975342E1,5.133267056E1
5.896272583E0,-2.049676514E1,6.339942932E0,-4.629269409E1,5.102279671E1
5.906245583E0,-2.059300995E1,6.048988342E0,-4.612979126E1,5.087848229E1
5.916218583E0,-2.067710876E1,6.109474182E0,-4.641232300E1,5.117589499E1
5.926192583E0,-2.055709839E1,6.102989197E0,-4.636486816E1,5.108367421E1
5.936165583E0,-2.078110504E1,5.769241333E0,-4.615594482E1,5.094614524E1
5.946138583E0,-2.076924133E1,5.709175110E0,-4.628973389E1,5.105580799E1
5.956111583E0,-2.087107849E1,5.672615051E0,-4.629623413E1,5.109913672E1
5.966085583E0,-2.086318970E1,5.782310486E0,-4.614645386E1,5.097257108E1
5.976058583E0,-2.090811157E1,5.637474060E0,-4.626107788E1,5.107854315E1
5.986031583E0,-2.101132965E1,5.481658936E0,-4.626028442E1,5.110321392E1
5.996004583E0,-2.122673035E1,5.286247253E0,-4.623086548E1,5.114500380E1
6.005977583E0,-2.138301086E1,5.194725037E0,-4.650872803E1,5.145172596E1
6.015951583E0,-2.161241913E1,4.964645386E0,-4.664297485E1,5.164602083E1
6.025924583E0,-2.174430847E1,4.916587830E0,-4.633264160E1,5.141693753E1
6.035897583E0,-2.178809357E1,5.127006531E0,-4.662799072E1,5.172211071E1
6.045870583E0,-2.204343414E1,4.917579651E0,-4.576953125E1,5.103866739E1
6.055844583E0,-2.233297729E1,4.810516357E0,-4.598046875E1,5.134302727E1
6.065817583E0,-2.259185791E1,4.494262695E0,-4.592028809E1,5.137376080E1
6.075790583E0,-2.289193726E1,4.410873413E0,-4.592761230E1,5.150574888E1
6.085763583E0,-2.287335968E1,4.404808044E0,-4.632479858E1,5.185151763E1
6.095736583E0,-2.293553162E1,4.030174255E0,-4.622430420E1,5.175874046E1
6.105710583E0,-2.292182922E1,4.181686401E0,-4.601199341E1,5.157519068E1
6.115683583E0,-2.326203918E1,3.958106995E0,-4.594784546E1,5.165262414E1
6.125656583E0,-2.324124146E1,3.788604736E0,-4.608352661E1,5.175133095E1
6.135629583E0,-2.348927307E1,3.780509949E0,-4.617593384E1,5.194473092E1
6.145603583E0,-2.353898621E1,3.728637695E0,-4.556686401E1,5.142300756E1
6.155576583E0,-2.359022522E1,3.201782227E0,-4.585565186E1,5.166711665E1
6.165549583E0,-2.367564392E1,3.065521240E0,-4.601263428E1,5.183720718E1
6.175522583E0,-2.373612213E1,2.986236572E0,-4.558670044E1,5.148269962E1
6.185495583E0,-2.373395538E1,2.808486938E0,-4.564569092E1,5.152394915E1
6.195469583E0,-2.373265076E1,2.512657166E0,-4.588702393E1,5.172205644E1
6.205442583E0,-2.390761566E1,2.351577759E0,-4.575003052E1,5.167368089E1
6.215415583E0,-2.388423920E1,2.019844055E0,-4.609091187E1,5.195102317E1
6.225388583E0,-2.377600098E1,1.847175598E0,-4.564727783E1,5.150130342E1
6.235362583E0,-2.402329254E1,1.685302734E0,-4.577502441E1,5.172341530E1
6.245335583E0,-2.408407593E1,1.350860596E0,-4.607662964E1,5.200887748E1
6.255308583E0,-2.406601715E1,1.154541016E0,-4.620413208E1,5.210880893E1
6.265281583E0,-2.424232483E1,1.265434265E0,-4.603262329E1,5.204127251E1
6.275254583E0,-2.406372070E1,8.988952637E-1,-4.563394165E1,5.159774508E1
6.285228583E0,-2.393025208E1,6.186294556E-1,-4.550701904E1,5.141914477E1
6.295201583E0,-2.424420929E1,1.842193604E-1,-4.568859863E1,5.172295106E1
6.305174583E0,-2.451867676E1,1.781082153E-1,-4.574517822E1,5.190200924E1
6.315147583E0,-2.435094452E1,-2.097015381E-1,-4.562448120E1,5.171659075E1
6.325121583E0,-2.440641785E1,-2.042388916E-1,-4.566778564E1,5.178089987E1
6.335094583E0,-2.431664276E1,-4.295272827E-1,-4.542315674E1,5.152423485E1
6.345067583E0,-2.449403381E1,-7.217559814E-1,-4.550958252E1,5.168752969E1
6.355040583E0,-2.460486603E1,-9.155120850E-1,-4.564959717E1,5.186639872E1
6.365013583E0,-2.450775909E1,-9.735031128E-1,-4.564334106E1,5.181594878E1
6.374987583E0,-2.459947205E1,-1.259117126E0,-4.578793335E1,5.199282875E1
6.384960583E0,-2.449828339E1,-1.408653259E0,-4.574996948E1,5.191541101E1
6.394933583E0,-2.476297760E1,-1.740959167E0,-4.564447021E1,5.195819146E1
6.404906583E0,-2.463188171E1,-1.983673096E0,-4.545748901E1,5.174019582E1
6.414880583E0,-2.477869415E1,-2.022682190E0,-4.560690308E1,5.194289687E1
6.424853583E0,-2.445296478E1,-2.610717773E0,-4.544241333E1,5.166987772E1
6.434826583E0,-2.471836853E1,-2.782157898E0,-4.586386108E1,5.217501221E1
6.444799583E0,-2.462139893E1,-3.185325623E0,-4.540286255E1,5.174726574E1
6.454772583E0,-2.476644897E1,-3.234893799E0,-4.519329834E1,5.163599275E1
6.464746583E0,-2.470727539E1,-3.509109497E0,-4.518005371E1,5.161395703E1
6.474719583E0,-2.459653473E1,-4.120391846E0,-4.532247925E1,5.173097984E1
6.484692583E0,-2.436291504E1,-4.467491150E0,-4.532656860E1,5.165276302E1
6.494665583E0,-2.433594513E1,-4.522384644E0,-4.532150269E1,5.164037949E1
6.504639583E0,-2.444241333E1,-4.791297913E0,-4.529617310E1,5.169266294E1
6.514612583E0,-2.422205353E1,-4.957450867E0,-4.570806885E1,5.196644835E1
6.524585583E0,-2.402315521E1,-5.521980286E0,-4.597418213E1,5.216540688E1
6.534558583E0,-2.396648407E1,-5.605010986E0,-4.585379028E1,5.204208480E1
6.544531583E0,-2.352677917E1,-6.044593811E0,-4.556475830E1,5.163519780E1
6.554505583E0,-2.332687378E1,-6.189201355E0,-4.571423340E1,5.169371711E1
6.564478583E0,-2.341149139E1,-6.457153320E0,-4.629080200E1,5.227457420E1
6.574451583E0,-2.321374512E1,-6.543136597E0,-4.610107422E1,5.202883473E1
6.584424583E0,-2.309989929E1,-6.738929749E0,-4.622927856E1,5.211683718E1
6.594398583E0,-2.301522064E1,-7.086364746E0,-4.601177979E1,5.193265664E1
6.604371583E0,-2.277392578E1,-7.501594543E0,-4.636645508E1,5.219936563E1
6.614344583E0,-2.266740417E1,-7.539840698E0,-4.639083862E1,5.218017169E1
